player,entity_id,crypto_filings_senate,first_year,last_year,total_all_issue_spend,crypto_term_in_name,tier
"Elevance Health, Inc.",client:108773,3,2022,2022,29940000,no,active
Nareit,client:110082,3,2025,2026,19401000,no,active
"H&R BLOCK MANAGEMENT, LLC, A SUBSIDIARY OF H&R BLOCK, INC.",client:122803,3,2022,2022,12830000,no,active
Deloitte LLP,client:127069,3,2025,2026,7120000,no,active
"Discover Financial Services, Inc.",client:133698,3,2022,2022,6910000,no,active
AMERICAN FEDERATION OF TEACHERS,client:103549,3,2025,2026,6250000,no,active
MUFG AMERICAS HOLDINGS CORPORATION,client:203340,3,2022,2023,4660000,no,active
"Autodesk, Inc",client:156933,3,2022,2022,3650000,no,active
INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS,client:126404,3,2025,2026,2263460,no,active
CMFG LIFE INSURANCE COMPANY,client:170973,3,2025,2026,2210000,no,active
"ESHARES, INC. D/B/A CARTA, INC.",client:210049,3,2022,2022,2210000,no,active
Citadel Enterprise Americas LLC,client:212516,3,2025,2026,2110000,no,active
KUCOIN,client:64167,3,2025,2025,2000000,no,active
University of Michigan,client:147158,3,2022,2022,1710000,no,active
"THE MCENTEE GROUP, LLC",client:66651,3,2025,2025,1200000,no,active
"MIZUHO BANK, LTD.",client:202684,3,2025,2026,1030000,no,active
New York Bankers Association,client:134668,3,2025,2026,818000,no,active
CA STATE ASSEMBLY,client:135921,3,2025,2025,760000,no,active
RIPPLE,client:203217,3,2025,2025,740000,yes,active
NCR Atleos,client:59115,3,2025,2026,690000,no,active
"TD Bank, N.A.",client:53020,3,2025,2025,670000,no,active
SMALL BUSINESS & ENTREPRENEURSHIP COUNCIL (SBE COUNCIL),client:144095,3,2025,2025,640000,no,active
CERTIK,client:64169,3,2025,2025,600000,no,active
"Franklin Resources, Inc.",client:106675,3,2022,2023,580000,no,active
AMERICAN FINTECH COUNCIL,client:184194,3,2025,2026,570000,no,active
EMURGO GROUP PTE. LTD.,client:66377,3,2025,2025,416666,no,active
Job Creators Network,client:175625,3,2024,2024,321500,no,active
"P STREET PROJECT, INC.",client:193732,3,2024,2025,290000,no,active
"CITIZENS BANK, N.A.",client:205584,3,2025,2026,284000,no,active
Sphere Labs,client:68739,3,2025,2026,215000,no,active
"DRW HOLDINGS, LLC",client:63975,3,2025,2025,210000,no,active
BINANCE HOLDING LIMITED,client:55573,3,2023,2023,200000,no,active
"HONEYCOMB DIGITAL INVESTMENTS, LLC",client:64170,3,2025,2025,200000,no,active
BULLISH US LLC,client:52723,3,2022,2022,180000,no,active
ONDO FINANCE INC.,client:70639,3,2025,2026,160000,no,active
CERTIFIED KERNEL TECH LLC,client:69601,3,2025,2026,150000,no,active
MODERN TREASURY CORP.,client:64400,3,2025,2025,120000,no,active
DEMOCRACY DEFENDERS ACTION,client:69225,3,2025,2026,120000,no,active
"INJECTIVE, LLC",client:69800,3,2025,2026,110000,no,active
MANTRA Ventures Limited,client:67600,3,2025,2025,100000,no,active
Swiss Bankers Association,client:131369,3,2024,2025,100000,no,active
SIMBA CHAIN,client:59268,3,2024,2025,92500,no,active
"FTI CONSULTING ON BEHALF OF TETHER OPERATIONS, S.A. DE C.V.",client:64931,3,2025,2025,60000,no,active
STANDARD CRYPTO,client:69878,3,2025,2026,50000,yes,active
NATIONAL COMMUNITY REINVESTMENT COALITION,client:197025,3,2023,2025,44137,no,active
WYOMING DEPOSIT & TRANSFER CORP. DBA BANKWYSE,client:55513,3,2023,2023,40000,no,active
THE DIGITAL CHAMBER OF COMMERCE,client:194251,3,2022,2022,35000,no,active
CORMINT DATA SYSTEMS,client:64714,3,2025,2025,30000,no,active
"PLUME NETWORK, INC.",client:69417,3,2025,2025,30000,no,active
CHAINALYSIS GOVERNMENT SOLUTIONS,client:68491,3,2025,2025,28000,no,active
CONNECT STRATEGY LLC (ON BEHALF OF CRYPTEX FINANCE),client:67702,3,2025,2025,20000,no,active
"ANCHORAGE DIGITAL BANK, NA",client:57279,3,2023,2023,10000,no,active
CENTER FOR FREEDOM AND PROSPERITY,client:160522,3,2024,2024,,no,active
"COMMUNITY BANK ADVISORY SERVICES, LLC",client:69380,3,2025,2025,,no,active
FEDERAL MONEY SERVICES BUSINESS ASSOCIATION INC.,client:67210,3,2025,2025,,no,active
American Council of Life Insurers,client:100935,2,2025,2026,19992028,no,peripheral
National Restaurant Association,client:134538,2,2025,2025,13840000,no,peripheral
"Prudential Financial, Inc.",client:105274,2,2025,2026,12604946,no,peripheral
AFL-CIO,client:100404,2,2025,2025,11860000,no,peripheral
TRANS UNION LLC,client:161956,2,2022,2022,9360000,no,peripheral
"Invesco Holding Company (US), Inc.",client:202198,2,2025,2025,9180000,no,peripheral
American Gaming Association,client:103559,2,2022,2022,8470000,no,peripheral
National Association of Mutual Insurance Companies,client:134242,2,2022,2022,7944520,no,peripheral
Southwest Airlines,client:140633,2,2025,2025,5480000,no,peripheral
Idemia Identity & Security USA LLC,client:187802,2,2025,2026,3650000,no,peripheral
"Santander Holdings USA, Inc.",client:199830,2,2025,2026,2820000,no,peripheral
H&R Block,client:199176,2,2025,2026,1950000,no,peripheral
University of Notre Dame,client:196468,2,2025,2025,1910000,no,peripheral
THE AMERICAN COUNCIL OF LIFE INSURERS,client:184933,2,2025,2026,1730000,no,peripheral
JP Morgan Chase Holdings,client:205309,2,2025,2025,1410000,no,peripheral
DEUTSCHE BANK USA,client:127162,2,2024,2024,1320000,no,peripheral
ADOBE SYSTEMS INC.,client:175590,2,2023,2023,1190000,no,peripheral
CENTER FOR BIOLOGICAL DIVERSITY,client:201674,2,2025,2025,969903,no,peripheral
"SidePrize LLC, d/b/a PrizePicks",client:59449,2,2026,2026,932000,no,peripheral
INTERNATIONAL SWAPS AND DERIVATIVES ASSOCIATION,client:102170,2,2025,2026,850000,no,peripheral
CLOUDFLARE,client:175596,2,2025,2026,680000,no,peripheral
"VIA SCIENCE, INC.",client:64550,2,2025,2026,450000,no,peripheral
"DEMAND PROGRESS ACTION, INC",client:199776,2,2025,2025,424000,no,peripheral
"ATLAS POWER HOLDINGS, LLC",client:210303,2,2022,2022,290000,no,peripheral
ELITE CATERING AND EVENT PROFESSIONALS,client:55000,2,2025,2025,240000,no,peripheral
HIVE BLOCKCHAIN TECHNOLOGIES LTD,client:212367,2,2022,2022,134000,yes,peripheral
THE NORTH AMERICAN SECURITIES ADMINISTRATORS ASSOCIATION,client:188528,2,2024,2024,132000,no,peripheral
THE DEFI EDUCATION FUND,client:213019,2,2022,2022,120000,yes,peripheral
AMERICAN CONSERVATIVE UNION,client:162029,2,2024,2024,100000,no,peripheral
OFFCHAIN LABS INC,client:70356,2,2025,2025,90000,no,peripheral
WAKEFERN FOOD CORP.,client:149085,2,2025,2025,90000,no,peripheral
BITCOIN DEPOT,client:70844,2,2026,2026,80000,yes,peripheral
ANCHORAGE DIGITAL,client:51260,2,2022,2022,60000,no,peripheral
THE FINTEX GROUP IN. (D/B/A LINGUARD LABS),client:71592,2,2026,2026,50000,no,peripheral
BLOCKFI,client:51807,2,2022,2022,40000,no,peripheral
"HIGH THROUGHPUT PRODUCTIONS, LLC (DBA BITBOY CRYPTO)",client:54855,2,2023,2023,30000,yes,peripheral
AMERICAN EXCHANGE COALITION (INFORMAL COALITION),client:71353,2,2026,2026,20000,no,peripheral
MOBILECOIN FOUNDATION,client:54540,2,2023,2023,15000,no,peripheral
"UNICOIN INC.UNICOIN, INC.",client:65176,2,2025,2025,10000,no,peripheral
ASSOCIATION OF DIGITAL ASSET MARKETS,client:52038,2,2022,2022,10000,yes,peripheral
COALITION ON HUMAN NEEDS,client:203430,2,2025,2025,,no,peripheral
National Association of Realtors,client:101314,1,2022,2022,289260000,no,peripheral
UPS (United Parcel Service),client:147131,1,2022,2022,31480000,no,peripheral
NFIB (National Federation of Independent Business),client:134461,1,2025,2025,23808843,no,peripheral
Capital One Financial Corporation,client:158512,1,2026,2026,15610000,no,peripheral
National Association of Convenience Stores,client:134220,1,2025,2025,13090000,no,peripheral
Lowe's Companies Inc.,client:100843,1,2025,2025,9700000,no,peripheral
PACIFIC LIFE INSURANCE COMPANY,client:183411,1,2026,2026,6490000,no,peripheral
New Venture Fund,client:112658,1,2024,2024,6103000,no,peripheral
American Exploration & Production Council,client:205920,1,2025,2025,5260000,no,peripheral
NATIONAL TREASURY EMPLOYEES UNION,client:134581,1,2026,2026,4977983,no,peripheral
BUILDING AND CONSTRUCTION TRADES DEPT AFL-CIO,client:110731,1,2026,2026,4160000,no,peripheral
"RBC CAPITAL MARKETS, LLC",client:195232,1,2026,2026,3070000,no,peripheral
"Social Finance, Inc.",client:172569,1,2022,2022,1460000,no,peripheral
INVESTMENT ADVISER ASSOCIATION (IAA),client:187840,1,2026,2026,1451206,no,peripheral
HILLTOP HOLDINGS INC.,client:135937,1,2026,2026,1360000,no,peripheral
ALLIANCE FOR RETIRED AMERICANS,client:163876,1,2026,2026,1355000,no,peripheral
Earthjustice Action,client:55709,1,2025,2025,957474,no,peripheral
REGIONS BANK,client:213285,1,2022,2022,720000,no,peripheral
Grant Thornton LLP,client:207860,1,2023,2023,617500,no,peripheral
RAMP BUSINESS CORPORATION,client:65270,1,2026,2026,360000,no,peripheral
"CAMPAIGN LEGAL CENTER, INC.",client:178832,1,2023,2023,300000,no,peripheral
ALLIANCE DEFENDING FREEDOM,client:59048,1,2025,2025,190000,no,peripheral
CALIFORNIA/NEVADA CREDIT UNION LEAGUE,client:57607,1,2025,2025,190000,no,peripheral
ELEVANTA,client:189392,1,2025,2025,180000,no,peripheral
"BRANSTAD CHURCHILL GROUP (OBO BITMAIN DELAWARE HOLDING COMPANY, INC.)",client:66718,1,2025,2025,160000,no,peripheral
ACT FOR AMERICA,client:190908,1,2023,2023,135000,no,peripheral
LEAD BANK,client:65056,1,2025,2025,130000,no,peripheral
Securities Investor Protection Corporation,client:145613,1,2025,2025,130000,no,peripheral
"BLOCKCHAIN GAME PARTNERS, INC DBA GALA GAMES",client:65946,1,2025,2025,100000,yes,peripheral
GIFDA,client:65340,1,2025,2025,85400,no,peripheral
THE BENNETT CONSULTING GROUP FKA THE BENNETT CONSULTING GROUP OBO CITY OF MOAB,client:69206,1,2026,2026,75000,no,peripheral
THE BLOCKCHAIN ASSOCIATION,client:210903,1,2022,2022,60000,yes,peripheral
PARTICULA GROUP INC.,client:71968,1,2026,2026,50000,no,peripheral
RUMBLE INC,client:65526,1,2025,2025,40000,no,peripheral
"VIVENNS, LLC",client:213159,1,2022,2022,40000,no,peripheral
SOLVE.CARE USA INC.,client:212444,1,2022,2022,20000,no,peripheral
THE ALLIANCE FOR INNOVATIVE REGULATION,client:208369,1,2022,2022,5000,no,peripheral
"FIGURE TECHNOLOGY SOLUTIONS, INC",client:71609,1,2026,2026,,no,peripheral
SKY MAVIS,client:70139,1,2025,2025,,no,peripheral
VOL. 1 VENTURES,client:53871,1,2023,2023,,no,peripheral
Proleague.gg,client:213636,1,2022,2022,,no,peripheral
STEEL PERLOT,client:52508,1,2022,2022,,no,peripheral
CRYPTO WORLD,client:54767,1,2023,2023,,yes,peripheral
Crypterns,client:53770,1,2022,2022,,no,peripheral
DEFI ANGELS LLC,client:211870,1,2022,2022,,yes,peripheral
AMERICAN BANKERS ASSOCIATION SECURITIES ASSOCIATION (ABASA),client:100020,1,2022,2022,,no,peripheral
THE FINTECH ACCORD,client:72211,1,2026,2026,,no,peripheral
DIGITAL CHAMBER OF COMMERCE,client:44928,1,2022,2022,,no,peripheral
USIG DIGITAL,client:72471,1,2026,2026,,no,peripheral
TRON DAO,client:70348,1,2025,2025,,no,peripheral
