registrant,client,trail4_income,n_quarters,first_seen,new_this_q,re_engaged,term_uuid,lda_public_url
RIVENDELL GROUP LLP,Comcast Corporation,150000,17,2022-Q1,False,0,a3ce36c6-52ab-4b54-8082-eaea3cf4968a,https://lda.senate.gov/filings/public/filing/a3ce36c6-52ab-4b54-8082-eaea3cf4968a/print/
"MERCURY PUBLIC AFFAIRS, LLC",Confederated Tribes of the Umatilla Indian Reservation,150000,4,2025-Q2,False,0,2606acdc-3a21-4781-abae-c4bb202fc613,https://lda.senate.gov/filings/public/filing/2606acdc-3a21-4781-abae-c4bb202fc613/print/
DLA PIPER LLP (US),DUKE UNIVERSITY HEALTH SYSTEM,150000,5,2025-Q1,False,0,b913f601-2865-49a5-8771-9df4ab3e26f2,https://lda.senate.gov/filings/public/filing/b913f601-2865-49a5-8771-9df4ab3e26f2/print/
"RUBIN, TURNBULL & ASSOCIATES","ELLER & COMPANY, INC.",150000,6,2024-Q4,False,0,e274dc0f-9465-41df-86f2-36e9395c841b,https://lda.senate.gov/filings/public/filing/e274dc0f-9465-41df-86f2-36e9395c841b/print/
SQUIRE PATTON BOGGS,EPS INDUSTRY ALLIANCE,150000,17,2022-Q1,False,0,b6b4cd0a-72d5-42ac-a531-e970aa0e791f,https://lda.senate.gov/filings/public/filing/b6b4cd0a-72d5-42ac-a531-e970aa0e791f/print/
"THE SIMMONS & RUSSELL GROUP, LLC",Edison Electric Institute,150000,17,2022-Q1,False,0,4a202c28-9d35-41f5-a6ac-a0e5ccb0d4ca,https://lda.senate.gov/filings/public/filing/4a202c28-9d35-41f5-a6ac-a0e5ccb0d4ca/print/
INVARIANT LLC,FAMILY VOICES,150000,10,2023-Q4,False,0,08e15662-91e0-43db-be20-d5540e72f45f,https://lda.senate.gov/filings/public/filing/08e15662-91e0-43db-be20-d5540e72f45f/print/
AKIN GUMP STRAUSS HAUER & FELD,Fluor Corporation,150000,17,2022-Q1,False,0,bb4a1a83-7e70-42ec-97df-8fd29c832c73,https://lda.senate.gov/filings/public/filing/bb4a1a83-7e70-42ec-97df-8fd29c832c73/print/
"THEGROUP DC, LLC",GREAT MINDS PBC,150000,4,2025-Q2,False,0,67418ef8-eaa1-40d2-a6a2-04cf417b658a,https://lda.senate.gov/filings/public/filing/67418ef8-eaa1-40d2-a6a2-04cf417b658a/print/
"ALVA ELLIOTT PARTNERS, LLC",Hanwha Q CELLS America Inc.,150000,11,2023-Q3,False,0,b59e2022-5517-4d1d-9d83-5cf8c121b5d1,https://lda.senate.gov/filings/public/filing/b59e2022-5517-4d1d-9d83-5cf8c121b5d1/print/
"BL PARTNERS GROUP, LLC",Hanwha Q CELLS America Inc.,150000,7,2024-Q3,False,0,3b94b903-98f9-41b7-bdfb-a2452256ab1c,https://lda.senate.gov/filings/public/filing/3b94b903-98f9-41b7-bdfb-a2452256ab1c/print/
"ERVIN GRAVES STRATEGY GROUP, LLC",IAN GERARD,150000,5,2025-Q1,False,0,2479248f-94f5-46af-bf19-041c9fdec395,https://lda.senate.gov/filings/public/filing/2479248f-94f5-46af-bf19-041c9fdec395/print/
STEPTOE LLP,IVIM HEALTH LLC,150000,3,2025-Q3,False,0,420dc731-332a-4b95-867f-fd0a5adc8b28,https://lda.senate.gov/filings/public/filing/420dc731-332a-4b95-867f-fd0a5adc8b28/print/
US POLICY METRICS,LEXISNEXIS RISK SOLUTIONS FL INC.,150000,3,2025-Q3,False,0,a9017dfc-ce7e-4234-9979-7b7ed0c5cf34,https://lda.senate.gov/filings/public/filing/a9017dfc-ce7e-4234-9979-7b7ed0c5cf34/print/
"THE PETRIZZO GROUP, INC.",MEDICAL ALLEY ASSOCIATION,150000,17,2022-Q1,False,0,39da51d9-8a69-4773-9d68-83118bfa8cd3,https://lda.senate.gov/filings/public/filing/39da51d9-8a69-4773-9d68-83118bfa8cd3/print/
"BALLARD PARTNERS, LLC",MORSELIFE HEALTH SYSTEM,150000,4,2022-Q3,False,0,7b0fd6da-5683-4fd9-bd02-be6619ae32d6,https://lda.senate.gov/filings/public/filing/7b0fd6da-5683-4fd9-bd02-be6619ae32d6/print/
NOSSAMAN LLP,NEEDLESMART,150000,17,2022-Q1,False,0,8f190867-e162-49e0-bdf5-fa80b9c1922e,https://lda.senate.gov/filings/public/filing/8f190867-e162-49e0-bdf5-fa80b9c1922e/print/
HOLLAND & KNIGHT LLP,Northeastern University,150000,8,2024-Q2,False,0,e0bb4245-2daa-49b1-8ad3-79d704eb37b4,https://lda.senate.gov/filings/public/filing/e0bb4245-2daa-49b1-8ad3-79d704eb37b4/print/
"FRANKLIN SQUARE GROUP, LLC","OZONE NETWORKS, INC. D/B/A OPENSEA",150000,16,2022-Q2,False,0,5bfc9467-0a9e-4cdc-9535-07170ecbd8be,https://lda.senate.gov/filings/public/filing/5bfc9467-0a9e-4cdc-9535-07170ecbd8be/print/
"TIBER CREEK HEALTH STRATEGIES, INC.",Pharmaceutical Research and Manufacturers of America,150000,17,2022-Q1,False,0,721ab9b7-6a76-4bb1-91c6-bd3626c76e3c,https://lda.senate.gov/filings/public/filing/721ab9b7-6a76-4bb1-91c6-bd3626c76e3c/print/
ANKURA ADVOCACY LLC,"REGARD TECHNOLOGIES, INC.",150000,3,2025-Q3,False,0,f95ad4bd-1d05-41b0-83f6-4240267564a3,https://lda.senate.gov/filings/public/filing/f95ad4bd-1d05-41b0-83f6-4240267564a3/print/
FORBES-TATE,REVANGENIX,150000,9,2024-Q1,False,0,9fb9ddf8-6e05-4b91-a083-3ace3913eaea,https://lda.senate.gov/filings/public/filing/9fb9ddf8-6e05-4b91-a083-3ace3913eaea/print/
"BALLARD PARTNERS, LLC",SAN FRANCISCO BAY AREA WATER EMERGENCY TRANSPORTATION AUTHORITY (WETA),150000,3,2025-Q3,False,0,c05a7dec-d0dc-41be-8ea8-141c35c6e401,https://lda.senate.gov/filings/public/filing/c05a7dec-d0dc-41be-8ea8-141c35c6e401/print/
"PUBLIC STRATEGIES WASHINGTON, INC.",Southwest Airlines,150000,17,2022-Q1,False,0,807d146f-2121-4abf-b359-3dd2113a853f,https://lda.senate.gov/filings/public/filing/807d146f-2121-4abf-b359-3dd2113a853f/print/
MONUMENT ADVOCACY,"Taber Extrusions, LLC",150000,3,2025-Q3,False,0,1e3cf488-6ee5-4aa9-bb40-1f6064e1d23c,https://lda.senate.gov/filings/public/filing/1e3cf488-6ee5-4aa9-bb40-1f6064e1d23c/print/
CAPITOL CONSULTING GROUP LLC (DC),VECTOR,150000,5,2025-Q1,False,0,b3e86bda-005f-456b-a2d9-b895ab9f5aad,https://lda.senate.gov/filings/public/filing/b3e86bda-005f-456b-a2d9-b895ab9f5aad/print/
RAFFANIELLO & ASSOCIATES,WateReuse Association,150000,4,2025-Q2,False,0,0045c9de-7ac1-45db-847b-81a3da3f6bfd,https://lda.senate.gov/filings/public/filing/0045c9de-7ac1-45db-847b-81a3da3f6bfd/print/
RICH FEUER ANDERSON,Zurich American Insurance Company,150000,17,2022-Q1,False,0,a5436d82-8348-47ab-9d7c-d15393ca934f,https://lda.senate.gov/filings/public/filing/a5436d82-8348-47ab-9d7c-d15393ca934f/print/
CARMEN GROUP INCORPORATED,NATIONAL EMPLOYMENT OPPORTUNITIES NETWORK,149000,17,2022-Q1,False,0,ea5b87f9-688a-4a69-81cf-5028d3b40b96,https://lda.senate.gov/filings/public/filing/ea5b87f9-688a-4a69-81cf-5028d3b40b96/print/
CHECKMATE GOVERNMENT RELATIONS,REDCAP LLC,145000,2,2025-Q4,False,0,77231905-715e-4327-bc55-1d2a51c6dc60,https://lda.senate.gov/filings/public/filing/77231905-715e-4327-bc55-1d2a51c6dc60/print/
"VENTURE GOVERNMENT STRATEGIES, LLC (FKA HOBART HALLAWAY & QUAYLE VENTURES, LLC)","AEVA, INC.",140000,4,2025-Q2,False,0,1840ba17-200d-4a25-8cc2-8edeb1c478f6,https://lda.senate.gov/filings/public/filing/1840ba17-200d-4a25-8cc2-8edeb1c478f6/print/
PRIME POLICY GROUP,ALLINA HEALTH,140000,17,2022-Q1,False,0,1ab2a221-9f14-4ecb-a15d-24a44a12914d,https://lda.senate.gov/filings/public/filing/1ab2a221-9f14-4ecb-a15d-24a44a12914d/print/
VAN SCOYOC ASSOCIATES,American Heart Association,140000,15,2022-Q3,False,0,bfb64e71-2555-4a05-a498-353eb4dbc9e1,https://lda.senate.gov/filings/public/filing/bfb64e71-2555-4a05-a498-353eb4dbc9e1/print/
"VENTURE GOVERNMENT STRATEGIES, LLC (FKA HOBART HALLAWAY & QUAYLE VENTURES, LLC)",HIDDENLAYER,140000,7,2024-Q3,False,0,63124ef4-87c8-4aee-98fb-ba30990a1f08,https://lda.senate.gov/filings/public/filing/63124ef4-87c8-4aee-98fb-ba30990a1f08/print/
"VENTURE GOVERNMENT STRATEGIES, LLC (FKA HOBART HALLAWAY & QUAYLE VENTURES, LLC)",KEEPING AMERICA'S EDGE,140000,4,2025-Q2,False,0,dedad584-7f1b-405b-a464-10d0e59870ed,https://lda.senate.gov/filings/public/filing/dedad584-7f1b-405b-a464-10d0e59870ed/print/
COZEN O'CONNOR PUBLIC STRATEGIES,PASHA GROUP,140000,17,2022-Q1,False,0,49c6fc79-bde9-4097-957e-7e9ebcdff4b4,https://lda.senate.gov/filings/public/filing/49c6fc79-bde9-4097-957e-7e9ebcdff4b4/print/
HOLLAND & KNIGHT LLP,Peak Nano,140000,5,2025-Q1,False,0,d9b3bd72-4193-4584-b885-6fe932f6d097,https://lda.senate.gov/filings/public/filing/d9b3bd72-4193-4584-b885-6fe932f6d097/print/
COZEN O'CONNOR PUBLIC STRATEGIES,Preventative Automotive Maintenance Association (PAMA),140000,6,2024-Q4,False,0,e334e4e5-5205-4dda-bcdc-961a5f79b486,https://lda.senate.gov/filings/public/filing/e334e4e5-5205-4dda-bcdc-961a5f79b486/print/
KIT BOND STRATEGIES,"RWE RENEWABLES AMERICAS, LLC",140000,17,2022-Q1,False,0,a775a7aa-bf4e-474b-bc7d-40ed3c74320c,https://lda.senate.gov/filings/public/filing/a775a7aa-bf4e-474b-bc7d-40ed3c74320c/print/
SQUIRE PATTON BOGGS,"SAMBAZON, INC",140000,3,2025-Q3,False,0,7b02ea34-c0b8-4078-8039-03e603693c10,https://lda.senate.gov/filings/public/filing/7b02ea34-c0b8-4078-8039-03e603693c10/print/
"MERCURY PUBLIC AFFAIRS, LLC",Society for Human Resources Management,140000,5,2025-Q1,False,0,80c6a4e2-0b2c-4163-9f17-1ceb2f8edb9f,https://lda.senate.gov/filings/public/filing/80c6a4e2-0b2c-4163-9f17-1ceb2f8edb9f/print/
DLA PIPER LLP (US),"THE ESTATE OF FRAN HEISER, ET AL.",140000,14,2022-Q4,False,0,06c627e0-01a5-449d-b8e7-d2eb88175185,https://lda.senate.gov/filings/public/filing/06c627e0-01a5-449d-b8e7-d2eb88175185/print/
RIDGELINE ADVOCACY GROUP LLC,"The Toy Association, Inc.",140000,5,2025-Q1,False,0,2e65c87b-9377-4023-b721-c5c281da28a4,https://lda.senate.gov/filings/public/filing/2e65c87b-9377-4023-b721-c5c281da28a4/print/
THE VOGEL GROUP,MYLAND,135000,4,2025-Q2,False,0,0c3c827f-be03-454d-ad9d-26618b018d09,https://lda.senate.gov/filings/public/filing/0c3c827f-be03-454d-ad9d-26618b018d09/print/
HORIZONS GLOBAL SOLUTIONS LLC,SIREN CARE INC,135000,8,2024-Q2,False,0,161bc0b6-0095-47b0-89fb-e99fc8f5f0c9,https://lda.senate.gov/filings/public/filing/161bc0b6-0095-47b0-89fb-e99fc8f5f0c9/print/
"HARBOR POLICY, LLC",SeatGeek,135000,10,2023-Q3,False,0,176d25d6-4762-4279-8c27-0f5308a37291,https://lda.senate.gov/filings/public/filing/176d25d6-4762-4279-8c27-0f5308a37291/print/
"KADESH & ASSOCIATES, LLC",AERLOGICS,134400,4,2025-Q2,False,0,7c66e2dd-de8b-498d-92c2-387c5552272f,https://lda.senate.gov/filings/public/filing/7c66e2dd-de8b-498d-92c2-387c5552272f/print/
FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),Arnold Ventures,130000,17,2022-Q1,False,0,464645f0-d29b-480a-a7c6-343b5c40f51e,https://lda.senate.gov/filings/public/filing/464645f0-d29b-480a-a7c6-343b5c40f51e/print/
COZEN O'CONNOR PUBLIC STRATEGIES,"BENTLEY SYSTEMS, INC. ON BEHALF OF BLYNCSY INC.",130000,3,2025-Q3,False,0,f94dfd4c-6e6d-4ac8-b70b-a7f346eafe09,https://lda.senate.gov/filings/public/filing/f94dfd4c-6e6d-4ac8-b70b-a7f346eafe09/print/
STRATEGIC MARKETING INNOVATIONS,CALCA SOLUTIONS LLC,130000,9,2024-Q1,False,0,593f58d8-6df7-4446-84e7-753e73dc3ec6,https://lda.senate.gov/filings/public/filing/593f58d8-6df7-4446-84e7-753e73dc3ec6/print/
"MERCURY PUBLIC AFFAIRS, LLC",ESTAR PARTNERS,130000,4,2025-Q2,False,0,ec24728e-cace-45f8-8806-fbbb2306a85a,https://lda.senate.gov/filings/public/filing/ec24728e-cace-45f8-8806-fbbb2306a85a/print/
HB STRATEGIES (FKA HUSCH BLACKWELL STRATEGIES),"GENESIS SYSTEMS, LLC",130000,4,2025-Q2,False,0,19542ff3-2def-4294-9b6f-9b124a027585,https://lda.senate.gov/filings/public/filing/19542ff3-2def-4294-9b6f-9b124a027585/print/
THE INGRAM GROUP LLC,"Lynch Regenerative Medicine, LLC",130000,4,2025-Q2,False,0,a4c6c092-e64b-40bd-8e93-c5b68a8a21b0,https://lda.senate.gov/filings/public/filing/a4c6c092-e64b-40bd-8e93-c5b68a8a21b0/print/
RIDGELINE ADVOCACY GROUP LLC,"Monterra Energy Holdings, LLC",130000,5,2025-Q1,False,0,073fca15-7b20-42b9-944c-61fcf224e01b,https://lda.senate.gov/filings/public/filing/073fca15-7b20-42b9-944c-61fcf224e01b/print/
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",National Rural Water Association,130000,13,2023-Q1,False,0,6f4fd13c-0502-4173-8af1-c41331f2352b,https://lda.senate.gov/filings/public/filing/6f4fd13c-0502-4173-8af1-c41331f2352b/print/
ACG ADVOCACY,PARTNERSHIP FOR THE U.S. LIFE SCIENCE ECOSYSTEM (PULSE),130000,5,2025-Q1,False,0,58270344-8040-4c64-95bb-21b23a64d68e,https://lda.senate.gov/filings/public/filing/58270344-8040-4c64-95bb-21b23a64d68e/print/
FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),PIVOTAL VENTURES LLC,130000,17,2022-Q1,False,0,70a82d83-6ecc-4eee-8d2c-17fc2601a0bf,https://lda.senate.gov/filings/public/filing/70a82d83-6ecc-4eee-8d2c-17fc2601a0bf/print/
"CASSIDY & ASSOCIATES, INC.","PROJECT BIOSECURITY, INC",130000,5,2025-Q1,False,0,14937e33-5123-407c-a11e-e1924b447ca1,https://lda.senate.gov/filings/public/filing/14937e33-5123-407c-a11e-e1924b447ca1/print/
WINNING STRATEGIES WASHINGTON,"PROLOGIS, L.P.",130000,17,2022-Q1,False,0,fa5d2066-5a51-4653-91b2-b56b53033048,https://lda.senate.gov/filings/public/filing/fa5d2066-5a51-4653-91b2-b56b53033048/print/
BRIAN GLACKIN & ASSOCIATES LLC,Parry Labs,130000,9,2024-Q1,False,0,c068b035-8ee2-4dec-9606-159f2b6a484e,https://lda.senate.gov/filings/public/filing/c068b035-8ee2-4dec-9606-159f2b6a484e/print/
"MEHLMAN CONSULTING, INC.",TEXAS INSTRUMENTS INCORPORATED,130000,17,2022-Q1,False,0,d8a1c6ce-478d-4279-b25b-eefd92f3499f,https://lda.senate.gov/filings/public/filing/d8a1c6ce-478d-4279-b25b-eefd92f3499f/print/
FAEGRE DRINKER BIDDLE & REATH LLP,THE REHABILITATION INNOVATION CENTERS COALITION,130000,17,2022-Q1,False,0,4e00093c-5274-4224-acc3-e2894a747be8,https://lda.senate.gov/filings/public/filing/4e00093c-5274-4224-acc3-e2894a747be8/print/
"BROWNSTEIN HYATT FARBER SCHRECK, LLP","TIMIOS, INC.",130000,4,2025-Q2,False,0,d068839b-a393-4748-b973-de5d8ac0d4ff,https://lda.senate.gov/filings/public/filing/d068839b-a393-4748-b973-de5d8ac0d4ff/print/
VAN SCOYOC ASSOCIATES,Total Military Management,130000,17,2022-Q1,False,0,a040aca2-fc82-493b-8167-1e3b55fac027,https://lda.senate.gov/filings/public/filing/a040aca2-fc82-493b-8167-1e3b55fac027/print/
"ICEBREAKER STRATEGIES, LLC",UNIVERSITY OF IDAHO COLLEGE OF ENGINEERING,130000,9,2024-Q1,False,0,e88be12e-347c-4df9-acab-eeffc2296940,https://lda.senate.gov/filings/public/filing/e88be12e-347c-4df9-acab-eeffc2296940/print/
FGS GLOBAL (US) LLC (FKA FGH HOLDINGS LLC),Vineyard Offshore LLC,130000,6,2024-Q4,False,0,72ae88c4-cc4d-4269-a6f8-3da154ea5379,https://lda.senate.gov/filings/public/filing/72ae88c4-cc4d-4269-a6f8-3da154ea5379/print/
"VIRTUAL OPERATIONS, LLC","SOMALOGIC OPERATING CO., INC.",123000,17,2022-Q1,False,0,1a1e1060-85f9-44f8-a231-df41a7487e54,https://lda.senate.gov/filings/public/filing/1a1e1060-85f9-44f8-a231-df41a7487e54/print/
POLSINELLI PC,AMERICAN ASSOCIATION OF ORAL AND MAXILLOFACIAL SURGEONS,120000,14,2022-Q4,False,0,fd6cdcd3-8bca-4d6d-8084-134bf3c6c18f,https://lda.senate.gov/filings/public/filing/fd6cdcd3-8bca-4d6d-8084-134bf3c6c18f/print/
POLSINELLI PC,ASSOC FOR DIAGNOSTICS & LAB MEDICINE (FKA AM ASSOC OF CLINICAL CHEMISTRY),120000,14,2022-Q4,False,0,52b6ecfe-9203-412b-933c-620cbdbc2b7a,https://lda.senate.gov/filings/public/filing/52b6ecfe-9203-412b-933c-620cbdbc2b7a/print/
"BROWNSTEIN HYATT FARBER SCHRECK, LLP",ATLAS FRM LLC,120000,4,2025-Q2,False,0,e938c40f-c1e8-4e07-96d0-52dcc2243bbc,https://lda.senate.gov/filings/public/filing/e938c40f-c1e8-4e07-96d0-52dcc2243bbc/print/
AXADVOCACY GOVERNMENT RELATIONS,AUTO CARE ASSOCIATION,120000,5,2025-Q1,False,0,66efa713-7dd7-4bf5-a4eb-be9d02c3cf4f,https://lda.senate.gov/filings/public/filing/66efa713-7dd7-4bf5-a4eb-be9d02c3cf4f/print/
DICKINSON WRIGHT PLLC,"Affirm, Inc.",120000,17,2022-Q1,False,0,76cafe31-e578-4679-ab9c-118fa761c360,https://lda.senate.gov/filings/public/filing/76cafe31-e578-4679-ab9c-118fa761c360/print/
"CASSIDY & ASSOCIATES, INC.",Allen Control Systems,120000,6,2024-Q4,False,0,35b55a3a-9b5e-4374-9ff4-e38c16c7bf10,https://lda.senate.gov/filings/public/filing/35b55a3a-9b5e-4374-9ff4-e38c16c7bf10/print/
"TSG ADVOCATES DC, LLC","BRIGHT HEALTH MANAGEMENT, INC.",120000,5,2025-Q1,False,0,6539c1bb-2771-4450-ac72-e784c57b316d,https://lda.senate.gov/filings/public/filing/6539c1bb-2771-4450-ac72-e784c57b316d/print/
THE BERNHARDT GROUP LLC,"BROWNSTEIN HYATT FARBER SCHRECK, LLP OBO DENVER WATER",120000,4,2025-Q2,False,0,2c714679-3761-4863-8f07-8f6ea0ae68d2,https://lda.senate.gov/filings/public/filing/2c714679-3761-4863-8f07-8f6ea0ae68d2/print/
"CGCN GROUP, LLC","BSA, The Software Alliance",120000,17,2022-Q1,False,0,fae3d903-9159-4426-9f44-1985a2a7b186,https://lda.senate.gov/filings/public/filing/fae3d903-9159-4426-9f44-1985a2a7b186/print/
"CROSSROADS STRATEGIES, LLC",Bristol-Myers Squibb Company,120000,17,2022-Q1,False,0,979efff9-1403-4a52-a386-ff49cc709a49,https://lda.senate.gov/filings/public/filing/979efff9-1403-4a52-a386-ff49cc709a49/print/
DA VINCI GROUP,Chenega Corporation,120000,4,2025-Q2,False,0,1def2365-646f-41ca-8044-fb41deba7a3f,https://lda.senate.gov/filings/public/filing/1def2365-646f-41ca-8044-fb41deba7a3f/print/
DAVID RUDD & ASSOCIATES LLC,Comcast Corporation,120000,17,2022-Q1,False,0,80655732-9897-4e53-b21c-4da892d2b4a9,https://lda.senate.gov/filings/public/filing/80655732-9897-4e53-b21c-4da892d2b4a9/print/
ERIS GROUP,Consumer First Coalition,120000,8,2024-Q2,False,0,e4ee2baa-9205-4bfa-a3ca-5d8a5aaa30c3,https://lda.senate.gov/filings/public/filing/e4ee2baa-9205-4bfa-a3ca-5d8a5aaa30c3/print/
THE WILLIAMS GROUP,Delta Air Lines,120000,8,2024-Q2,False,0,eae63c36-8e70-48f4-b3fa-9c58cf342d95,https://lda.senate.gov/filings/public/filing/eae63c36-8e70-48f4-b3fa-9c58cf342d95/print/
STRATEGIC MARKETING INNOVATIONS,Forging Industry Association,120000,15,2022-Q3,False,0,fe2a5bbd-5ed2-4273-946e-b2824af6fbf4,https://lda.senate.gov/filings/public/filing/fe2a5bbd-5ed2-4273-946e-b2824af6fbf4/print/
MAYNARD NEXSEN PC,"G2 OPS, INC.",120000,7,2024-Q3,False,0,88b35999-ef37-4862-a13a-6682002ab88a,https://lda.senate.gov/filings/public/filing/88b35999-ef37-4862-a13a-6682002ab88a/print/
"MCKINNON GROUP, LLC","GRAY ANALYTICS, INC.",120000,5,2025-Q1,False,0,3da335cb-2abc-45c5-a20d-8c3e9c0798c3,https://lda.senate.gov/filings/public/filing/3da335cb-2abc-45c5-a20d-8c3e9c0798c3/print/
FORBES-TATE,GRODAN INC.,120000,17,2022-Q1,False,0,95688e61-6941-45f6-ae8b-554f1fbccdf1,https://lda.senate.gov/filings/public/filing/95688e61-6941-45f6-ae8b-554f1fbccdf1/print/
"CJ LAKE, LLC",HB STRATEGIES OBO FRESNO COMM. HOSPITAL & MC,120000,9,2024-Q1,False,0,743d8a2b-975b-41e6-967e-92ff04c8ee51,https://lda.senate.gov/filings/public/filing/743d8a2b-975b-41e6-967e-92ff04c8ee51/print/
"CJ LAKE, LLC",HB STRATEGIES OBO GREAT LAKES DREDGE & DOCK CO,120000,13,2023-Q1,False,0,cb278f3d-299c-4e39-9ab4-b1e657fc83ad,https://lda.senate.gov/filings/public/filing/cb278f3d-299c-4e39-9ab4-b1e657fc83ad/print/
"CJ LAKE, LLC",HB STRATEGIES OBO SAN JOAQUIN COUNCIL OF GOV'T,120000,6,2024-Q4,False,0,23e63be6-a667-4971-a9e8-bf08905d760d,https://lda.senate.gov/filings/public/filing/23e63be6-a667-4971-a9e8-bf08905d760d/print/
"CJ LAKE, LLC",HB STRATEGIES OBO SAN JOAQUIN VALLEY APCD,120000,11,2023-Q3,False,0,1d5541b3-52c6-400e-a384-c99f22fab525,https://lda.senate.gov/filings/public/filing/1d5541b3-52c6-400e-a384-c99f22fab525/print/
"LEWIS-BURKE ASSOCIATES, LLC",HUMAN FACTORS AND ERGONOMICS SOCIETY,120000,17,2022-Q1,False,0,11d12b8f-77fe-4113-a9cf-cac76eed485c,https://lda.senate.gov/filings/public/filing/11d12b8f-77fe-4113-a9cf-cac76eed485c/print/
"THE PICARD GROUP, LLC",HUNTER BUILDINGS,120000,13,2023-Q1,False,0,157d9a55-7bf3-430f-af10-154f4ebd75cc,https://lda.senate.gov/filings/public/filing/157d9a55-7bf3-430f-af10-154f4ebd75cc/print/
LESTER HEALTH LAW PLLC,KIDNEY CARE COUNCIL,120000,17,2022-Q1,False,0,abf74746-68c5-4f59-b0d2-e8a6555215b5,https://lda.senate.gov/filings/public/filing/abf74746-68c5-4f59-b0d2-e8a6555215b5/print/
"BALLARD PARTNERS, LLC","KIRKLAND & ELLIS LLP ON BEHALF OF EVOLVE BUYER, LLC AND YODA TOPCO, LP",120000,2,2025-Q4,False,0,b0c66306-f2ee-456e-8bfd-ee8188ef22da,https://lda.senate.gov/filings/public/filing/b0c66306-f2ee-456e-8bfd-ee8188ef22da/print/
BALLARD SPAHR LLP,KeyBank,120000,12,2023-Q2,False,0,1468d5c0-7f4d-4cde-b8dd-f0a0546fc3ba,https://lda.senate.gov/filings/public/filing/1468d5c0-7f4d-4cde-b8dd-f0a0546fc3ba/print/
"THE LAURIN BAKER GROUP, LLC",Koppers Inc.,120000,15,2022-Q3,False,0,d39a18fa-fe46-4c2f-98a4-37fa25f32cb4,https://lda.senate.gov/filings/public/filing/d39a18fa-fe46-4c2f-98a4-37fa25f32cb4/print/
SC PARTNERS LLC,LEEWARD RENEWABLE ENERGY,120000,17,2022-Q1,False,0,04ae75c3-85a9-4ddb-b029-161fd11a6221,https://lda.senate.gov/filings/public/filing/04ae75c3-85a9-4ddb-b029-161fd11a6221/print/
STERNHELL GROUP,MARINER FINANCE,120000,17,2022-Q1,False,0,d8ac29af-121a-4cdd-bf66-0397652d80ca,https://lda.senate.gov/filings/public/filing/d8ac29af-121a-4cdd-bf66-0397652d80ca/print/
MICHAEL BEST STRATEGIES LLC,MICHIGAN ASSOCIATION OF PUBLIC SCHOOL ACADEMIES,120000,4,2025-Q2,False,0,f2852ba3-6f52-4829-9a53-f36e99428ce1,https://lda.senate.gov/filings/public/filing/f2852ba3-6f52-4829-9a53-f36e99428ce1/print/
"CASSIDY & ASSOCIATES, INC.",MSMM ENGINEERING,120000,3,2025-Q3,False,0,a607d45a-267c-4776-873f-24e3e694b49c,https://lda.senate.gov/filings/public/filing/a607d45a-267c-4776-873f-24e3e694b49c/print/
KLEIN/JOHNSON GROUP,National Association of Energy Service Companies,120000,5,2025-Q1,False,0,9026413b-b7a3-47dc-bc9f-204dcfb93c17,https://lda.senate.gov/filings/public/filing/9026413b-b7a3-47dc-bc9f-204dcfb93c17/print/
ALSTON & BIRD LLP,National Organization of Social Security Claimants' Representatives,120000,5,2025-Q1,False,0,413e52b2-d3e8-4456-9861-487d2e99dc61,https://lda.senate.gov/filings/public/filing/413e52b2-d3e8-4456-9861-487d2e99dc61/print/
RICK MALDONADO & ASSOCIATES INC.,PORT OF TEXAS CITY,120000,17,2022-Q1,False,0,aea0917b-bcbc-4416-bf09-fcd91ee7e82a,https://lda.senate.gov/filings/public/filing/aea0917b-bcbc-4416-bf09-fcd91ee7e82a/print/
"CORNERSTONE GOVERNMENT AFFAIRS, INC.",RCF MANAGEMENT L.L.C.,120000,3,2025-Q3,False,0,76664189-93a5-48a9-930a-36616382ce49,https://lda.senate.gov/filings/public/filing/76664189-93a5-48a9-930a-36616382ce49/print/
"NORTH STAR STRATEGIES, LLC",REPKON USA,120000,7,2024-Q3,False,0,5b82df23-ee33-4bb9-9ed1-d731ddfcd43d,https://lda.senate.gov/filings/public/filing/5b82df23-ee33-4bb9-9ed1-d731ddfcd43d/print/
FOCUS DC LLC,"Revolution Corporate Services, Inc.",120000,17,2022-Q1,False,0,ac7664ca-c7a8-4b3e-a73f-ec4ef66c5bbc,https://lda.senate.gov/filings/public/filing/ac7664ca-c7a8-4b3e-a73f-ec4ef66c5bbc/print/
SALT POINT STRATEGIES,"Revolution Corporate Services, Inc.",120000,17,2022-Q1,False,0,be37a0f6-787b-4e2f-9627-8bf30b268a78,https://lda.senate.gov/filings/public/filing/be37a0f6-787b-4e2f-9627-8bf30b268a78/print/
NATURAL RESOURCE RESULTS LLC,SCENIC HUDSON,120000,17,2022-Q1,False,0,75f33a21-7ed2-4a57-8fc0-e238d0c36bb6,https://lda.senate.gov/filings/public/filing/75f33a21-7ed2-4a57-8fc0-e238d0c36bb6/print/
MICHAEL BEST STRATEGIES LLC,"SHARX, LLC",120000,2,2025-Q4,False,0,c4227af7-937a-4ed6-87fd-b2fc1bd29fb7,https://lda.senate.gov/filings/public/filing/c4227af7-937a-4ed6-87fd-b2fc1bd29fb7/print/
