recipient,party,party_source,from_crypto_native,native_items,from_diversified_forward,forward_items,from_ambient_lowshare,ambient_items,name_variants_combined
Republican Main Street Partnership PAC,,,5000.0,1,45000.0,9,30000.0,7,2
"James Griffin, Federal Housing Finance Agency",,,0.0,0,80000.0,1,0.0,0,1
George W. Bush,,,0.0,0,80000.0,1,0.0,0,1
Blue Dog Political Action Committee,,,0.0,0,55000.0,12,25000.0,7,1
Rep. Nancy Pelosi (D-CA),(D-CA),members-table,0.0,0,45000.0,15,35000.0,10,4
Sen. Joe Manchin (I-WV),(I-WV),manual,0.0,0,61000.0,18,18590.0,10,9
Congressional Black Caucus,,,45000.0,5,34500.0,7,0.0,0,1
Rep. Jamie Raskin (D-MD),(D-MD),members-table,0.0,0,37500.0,19,42000.0,15,4
Rep. Troy A. Carter (D-LA),(D-LA),members-table,1000.0,1,18000.0,15,60463.0,30,7
Rep. Aaron Bean (R-FL),(R-FL),members-table,0.0,0,51000.0,26,28320.0,20,5
Sen. Adam B. Schiff (D-CA),(D-CA),members-table,6600.0,1,46000.0,14,26500.0,10,5
Rep. Gregory F. Murphy (R-NC),(R-NC),members-table,0.0,0,72500.0,27,6500.0,3,5
"Rep. Henry C. ""Hank"" Johnson, Jr. (D-GA)",(D-GA),members-table,0.0,0,37000.0,15,41470.0,16,9
Rep. Henry Cuellar (D-TX),(D-TX),members-table,1000.0,2,59000.0,19,18250.0,15,4
"Hill, French",,,0.0,0,78000.0,24,0.0,0,1
Dan Kildee,,,0.0,0,61500.0,28,16500.0,9,3
Rep. Michael T. McCaul (R-TX),(R-TX),members-table,0.0,0,58000.0,24,19500.0,12,8
Rep. Veronica Escobar (D-TX),(D-TX),members-table,0.0,0,48500.0,23,29000.0,13,4
"The Hon. James E. Graves Jr. Us Court Of Appeals, The Hon. Cornelia T.L. Pillard Us Court Of Appeals",,,0.0,0,77000.0,1,0.0,0,1
Rep. Tony Gonzales (R-TX),(R-TX),members-table,0.0,0,61500.0,20,15500.0,18,5
Sen. Brian Schatz (D-HI),(D-HI),members-table,0.0,0,36000.0,11,41000.0,13,4
Rep. Mary Gay Scanlon (D-PA),(D-PA),members-table,0.0,0,46000.0,24,30500.0,15,5
Rep. Darrell Issa (R-CA),(R-CA),members-table,0.0,0,55000.0,22,21090.0,13,5
Rep. Tim Moore (R-NC),(R-NC),members-table,1000.0,1,63750.0,28,11000.0,7,3
Sen. Dick Durbin,,,0.0,0,65500.0,8,10000.0,2,3
Rep. Mariannette Miller-Meeks,,,0.0,0,62500.0,25,13000.0,8,5
Rep. Troy Downing (R-MT),(R-MT),members-table,1000.0,1,62500.0,27,11500.0,7,4
National Republican Congressional Commitee,,,0.0,0,75000.0,5,0.0,0,1
"Barbara Favola, Senator, Commonwealth Of Virginia",,,0.0,0,75000.0,1,0.0,0,1
Rep. Dwight Evans (D-PA),(D-PA),members-table,0.0,0,50000.0,20,25000.0,16,4
Rep. Stephen F. Lynch (D-MA),(D-MA),members-table,0.0,0,62500.0,28,12500.0,6,6
Rep. Gabe Amo (D-RI),(D-RI),members-table,1000.0,1,41700.0,22,31000.0,12,8
Rep. Eric Swalwell (D-CA),(D-CA),members-table,0.0,0,32000.0,13,40750.0,25,6
Sen. Alex Padilla (D-CA),(D-CA),members-table,1500.0,2,44000.0,17,27000.0,9,4
Rep. Morgan McGarvey (D-KY),(D-KY),members-table,0.0,0,45500.0,21,27000.0,12,3
Rep. Mark E. Amodei (R-NV),(R-NV),members-table,0.0,0,70000.0,26,2185.0,4,4
Sen. Ted Cruz (R-TX),(R-TX),members-table,1000.0,1,35000.0,14,36000.0,13,4
"Smith, Jason",,,0.0,0,71500.0,25,0.0,0,1
Rep. Kat Cammack (R-FL),(R-FL),members-table,0.0,0,57000.0,30,14100.0,10,5
Rep. Dan Newhouse (R-WA),(R-WA),members-table,0.0,0,50500.0,20,20595.0,9,5
Rep. Debbie Wasserman Schultz (D-FL),(D-FL),members-table,0.0,0,48500.0,20,22500.0,11,3
Rep. Adam Smith (D-WA),(D-WA),members-table,0.0,0,41000.0,14,30000.0,14,3
Rep. Frank J. Mrvan (D-IN),(D-IN),members-table,0.0,0,30500.0,18,40500.0,19,7
Rep. Yvette D. Clarke (D-NY),(D-NY),members-table,0.0,0,38525.0,17,31500.0,16,5
Rep. Mike Haridopolos (R-FL),(R-FL),members-table,2500.0,2,48000.0,21,19500.0,10,6
"Scalise, Steve",,,0.0,0,70000.0,17,0.0,0,1
"Marla Bilonick, Department Of Treasurys Cdfi Fund Community Development Advisory Board",,,0.0,0,70000.0,1,0.0,0,1
Across The Aisle PAC,,,0.0,0,70000.0,14,0.0,0,1
Sponsorship Of The Chairman'S Level Membership,,,0.0,0,0.0,0,70000.0,2,1
Sponsorship Of The 2024 National Book Festival,,,0.0,0,0.0,0,70000.0,1,1
Rep. Jack Bergman (R-MI),(R-MI),members-table,500.0,1,66500.0,21,2595.0,2,3
Rep. Rudy Yakym III (R-IN),(R-IN),members-table,0.0,0,53000.0,29,16500.0,8,6
Rep. H. Morgan Griffith (R-VA),(R-VA),members-table,0.0,0,32500.0,11,36595.0,11,3
Rep. Greg Stanton (D-AZ),(D-AZ),members-table,0.0,0,34000.0,16,35090.0,18,3
Sen. Pat Toomey (R-PA),(R-PA),manual,53790.0,1,15000.0,3,0.0,0,3
Maggie Hassan,,,0.0,0,68500.0,27,0.0,0,1
Rep. Brad Finstad (R-MN),(R-MN),members-table,0.0,0,61250.0,28,7095.0,5,3
Rep. Janelle S. Bynum (D-OR),(D-OR),members-table,2750.0,5,42000.0,23,23500.0,10,4
Rep. Jasmine Crockett (D-TX),(D-TX),members-table,2000.0,2,29000.0,19,37000.0,17,4
Rep. August Pfluger (R-TX),(R-TX),members-table,0.0,0,58500.0,30,9095.0,7,8
Rep. Jay Obernolte (R-CA),(R-CA),members-table,0.0,0,58000.0,31,9595.0,8,5
Rep. Raja Krishnamoorthi (D-IL),(D-IL),members-table,0.0,0,45500.0,29,21500.0,12,4
Rep. Debbie Dingell (D-MI),(D-MI),members-table,0.0,0,38500.0,18,28500.0,12,5
Rep. Ken Calvert (R-CA),(R-CA),members-table,0.0,0,42000.0,20,24685.0,13,4
Rep. Brad Wenstrup,,,0.0,0,53000.0,22,13500.0,3,3
Rep. Marcy Kaptur (D-OH),(D-OH),members-table,0.0,0,33500.0,21,33000.0,13,2
Rep. Michael R. Turner (R-OH),(R-OH),members-table,0.0,0,47000.0,21,19250.0,9,7
Sen. Raphael G. Warnock (D-GA),(D-GA),members-table,500.0,1,38965.0,25,26600.0,7,8
Rep. W. Gregory Steube (R-FL),(R-FL),members-table,0.0,0,45000.0,23,20750.0,14,3
Rep. David Rouzer (R-NC),(R-NC),members-table,0.0,0,47000.0,25,18545.0,11,4
Rep. Sarah McBride (D-DE),(D-DE),members-table,500.0,1,44500.0,25,20500.0,8,5
Federal Housing Finance Agency Nicholas Satriano,,,0.0,0,65000.0,1,0.0,0,1
Building Bridges PAC,,,0.0,0,60000.0,12,5000.0,1,1
Rep. Norma J. Torres (D-CA),(D-CA),members-table,0.0,0,42000.0,23,23000.0,15,4
Rep. Rick W. Allen (R-GA),(R-GA),members-table,0.0,0,48500.0,19,16500.0,7,5
"Barr, Andy",,,0.0,0,64500.0,27,0.0,0,1
Rep. Seth Magaziner (D-RI),(D-RI),members-table,0.0,0,45500.0,33,19000.0,13,5
Sen. Mark Kelly (D-AZ),(D-AZ),members-table,0.0,0,32500.0,11,32000.0,9,4
Sen. Lindsey Graham (R-SC),(R-SC),members-table,0.0,0,43500.0,16,20500.0,9,3
Rep. Grace Meng (D-NY),(D-NY),members-table,2000.0,2,34000.0,15,27500.0,11,3
Rep. Matt Cartwright,,,0.0,0,21500.0,9,42000.0,12,3
Rep. Jared F. Golden (D-ME),(D-ME),members-table,0.0,0,31000.0,15,31685.0,15,3
Rep. Ami Bera (D-CA),(D-CA),members-table,0.0,0,45500.0,22,17000.0,9,3
Rep. Jared Moskowitz (D-FL),(D-FL),members-table,2000.0,2,29500.0,13,30500.0,13,5
Rep. Lori Trahan (D-MA),(D-MA),members-table,0.0,0,37500.0,14,24500.0,8,4
Membership Dues,,,0.0,0,0.0,0,61800.0,5,1
Sen. James E. Risch (R-ID),(R-ID),members-table,0.0,0,52500.0,16,9000.0,5,7
Rep. Dan Crenshaw (R-TX),(R-TX),members-table,0.0,0,54000.0,23,7250.0,5,6
Rep. Timothy M. Kennedy (D-NY),(D-NY),members-table,2000.0,2,37009.0,20,22000.0,8,8
Rep. Jim Costa (D-CA),(D-CA),members-table,0.0,0,40500.0,22,20500.0,14,5
Rep. Daniel S. Goldman (D-NY),(D-NY),members-table,500.0,1,39000.0,17,21000.0,8,4
Rep. Russell Fry (R-SC),(R-SC),members-table,0.0,0,35500.0,16,25000.0,15,5
Sen. Jeanne Shaheen (D-NH),(D-NH),members-table,0.0,0,45000.0,20,15250.0,5,3
National Republican Congressional Committee (Nrcc),,,0.0,0,60000.0,4,0.0,0,1
Rep. Andrea Salinas (D-OR),(D-OR),members-table,0.0,0,38500.0,17,21500.0,14,3
Sponsorship Of The Annual Cbcf Legislative Conference. Entity Controlled By Covered Officials,,,0.0,0,0.0,0,60000.0,1,1
Sponsorship Of The Leadership Institute Programs,,,0.0,0,0.0,0,60000.0,1,1
Sponsorship Of The 2023 Alc Phoenix Awards Dinner And The 2023 Economic Summit Series,,,0.0,0,0.0,0,60000.0,1,1
Rep. Marlin A. Stutzman (R-IN),(R-IN),members-table,1000.0,1,50000.0,24,8800.0,6,6
Rep. Lori Chavez-Deremer,,,0.0,0,51000.0,20,8595.0,5,3
Rep. Max L. Miller (R-OH),(R-OH),members-table,2000.0,2,46500.0,23,11000.0,7,4
Rep. Ann Mclane Kuster,,,0.0,0,46500.0,16,12500.0,7,2
"Neal, Richard",,,0.0,0,58500.0,19,0.0,0,1
Sen. Roger Marshall (R-KS),(R-KS),members-table,0.0,0,56000.0,20,2500.0,1,3
Rep. John W. Rose (R-TN),(R-TN),members-table,0.0,0,53300.0,25,5000.0,3,5
Rep. Jim Jordan,,,0.0,0,50500.0,20,7750.0,5,3
"Huizenga, Bill",,,0.0,0,58000.0,24,0.0,0,1
Rep. Mike Bost (R-IL),(R-IL),members-table,0.0,0,50000.0,26,8000.0,5,6
Us Senate - Mark R Warner (Va),,,0.0,0,57440.0,2,0.0,0,1
"Emmer, Tom",,,0.0,0,57000.0,25,0.0,0,1
Rep. Jonathan L. Jackson (D-IL),(D-IL),members-table,0.0,0,24500.0,12,32500.0,14,6
Rep. Austin Scott (R-GA),(R-GA),members-table,0.0,0,55500.0,24,1000.0,1,3
Sen. John W. Hickenlooper (D-CO),(D-CO),members-table,0.0,0,47500.0,14,9000.0,4,5
Rep. Salud O. Carbajal (D-CA),(D-CA),members-table,0.0,0,33500.0,16,23000.0,13,4
Sen. Mazie K. Hirono (D-HI),(D-HI),members-table,0.0,0,21000.0,6,35135.0,12,4
Rep. John Joyce (R-PA),(R-PA),members-table,0.0,0,32500.0,11,23500.0,9,3
Rep. Jahana Hayes (D-CT),(D-CT),members-table,0.0,0,22500.0,7,33500.0,18,3
Rep. Janice D. Schakowsky (D-IL),(D-IL),members-table,0.0,0,8250.0,5,47500.0,15,4
"Kim, Young",,,0.0,0,55500.0,16,0.0,0,2
Rep. Rosa L. DeLauro (D-CT),(D-CT),members-table,0.0,0,32000.0,11,23500.0,10,6
Members Of The CBC,,,0.0,0,55000.0,2,0.0,0,1
Rep. Mario Diaz-Balart,,,0.0,0,41500.0,19,13500.0,11,3
DSCC (Building Fund),,,0.0,0,15000.0,1,40000.0,3,1
