recipient,party,party_source,from_health_focused,focused_items,from_mixed_diversified,mixed_items,name_variants_combined
The Honorable Aaron Bean,,,0.0,0,30000.0,8,1
The Honorable Darin Lahood,,,0.0,0,30000.0,7,1
The Honorable Steve Scalise,,,0.0,0,30000.0,6,1
The Honorable Elise Stefanik,,,0.0,0,30000.0,9,1
Sen. Joe Manchin (I-WV),(I-WV),manual,0.0,0,30000.0,6,1
The National Republican Senatorial Campaign,,,0.0,0,30000.0,1,1
2024 Contribution,,,0.0,0,30000.0,1,1
The Honorable Jason Smith,,,0.0,0,30000.0,9,1
Rep. Norma J. Torres (D-CA),(D-CA),members-table,0.0,0,29500.0,11,1
Rep. Michael Clifton Burgess,,,0.0,0,29500.0,13,1
The Honorable Gus Bilirakis,,,0.0,0,28500.0,8,1
Sen. L. Tammy Duckworth,,,0.0,0,28500.0,8,1
Rep. James Daniel Jordan,,,0.0,0,28500.0,10,1
Rep. Ben Cline (R-VA),(R-VA),members-table,0.0,0,28000.0,12,1
Purpose Prize Event Reception,,,0.0,0,27500.0,1,1
The Honorable Jim Banks,,,0.0,0,27500.0,6,1
"Sen. Angus S. King, Jr. (I-ME)",(I-ME),members-table,0.0,0,27500.0,6,1
Lou Correa,,,0.0,0,27000.0,19,1
Rep. Lloyd Smucker (R-PA),(R-PA),members-table,0.0,0,25500.0,11,1
Rep. Bennie G. Thompson (D-MS),(D-MS),members-table,0.0,0,25500.0,13,1
Sponsorship At The Gold Level,,,0.0,0,25000.0,1,1
Sponsorship Of The 2023 Tech Summit And The 2023 Apaics Gala,,,0.0,0,25000.0,1,1
The Honorable Steny Hoyer,,,0.0,0,25000.0,5,1
The Honorable Vern Buchanan,,,0.0,0,25000.0,5,1
General Support Sponsorship,,,0.0,0,25000.0,1,1
Sponsorship Of A Gold Membership,,,0.0,0,25000.0,1,1
Sponsorship Of Briefing Focused On Financial Retirement Security,,,0.0,0,25000.0,1,1
For The 2022 Gold Sponsorship. Entity Controlled By Covered Officials,,,0.0,0,25000.0,1,1
Sponsorship Of The Anacostia Community Museum,,,0.0,0,25000.0,1,1
National Republican Congressional Committee - Hq,,,0.0,0,25000.0,1,1
The Honorable Patty Murray,,,0.0,0,25000.0,5,1
The Honorable Lisa Blunt Rochester,,,0.0,0,25000.0,7,1
Sponsorship Of The Annual Awards Gala,,,0.0,0,25000.0,1,1
Sponsorship Of The Purpose Prize Reception,,,0.0,0,25000.0,1,1
Sponsorship For General Support,,,0.0,0,25000.0,1,1
Gold Sponsorship Membership,,,0.0,0,25000.0,1,1
The Honorable Tom Emmer,,,0.0,0,25000.0,6,1
Gold Level Sponsorship And Membership Fees,,,0.0,0,25000.0,1,1
"Silver Sponsorship Of The Congressional Staff Appreciation Reception, Congressional Hispanic Leadership Reception, And The Congressional Hispanic Leadership Institute Gala",,,0.0,0,25000.0,1,1
Rep. Brittany Pettersen (D-CO),(D-CO),members-table,0.0,0,25000.0,11,1
"Sponsorship Of The 2024 Holiday Party, Swearing-In Ceremony And Gala",,,0.0,0,25000.0,1,1
The Honorable Jeff Van Drew,,,0.0,0,25000.0,5,1
Donation To The National Museum Of American History,,,0.0,0,25000.0,1,1
The Honorable Adrian Smith,,,0.0,0,25000.0,6,1
The Honorable Henry Cuellar,,,0.0,0,25000.0,6,1
The Honorable Nancy Pelosi,,,0.0,0,25000.0,5,1
Facility Rental For Aarp Board Of Directors Dinner,,,0.0,0,24912.0,1,1
Brad Wenstrup,,,0.0,0,24500.0,14,1
Rep. Julia Letlow (R-LA),(R-LA),members-table,0.0,0,23500.0,18,1
The Honorable Buddy Carter,,,0.0,0,23500.0,7,1
Sen. Bill Hagerty (R-TN),(R-TN),members-table,0.0,0,23500.0,7,1
Hispanic Leadership Trust,,,0.0,0,23500.0,6,1
Rep. Veronica Escobar (D-TX),(D-TX),members-table,0.0,0,23000.0,14,1
The Honorable Drew Ferguson,,,0.0,0,23000.0,5,1
The Honorable Robin Kelly,,,0.0,0,22500.0,6,1
The Honorable Jim Jordan,,,0.0,0,22500.0,5,1
Rep. Troy A. Carter (D-LA),(D-LA),members-table,0.0,0,22500.0,15,1
